timestamps,open,high,low,close,volume,amount
2024-01-01 00:00:00,42288.58,42543.64,42261.58,42452.66,379.19725348,16072887.992314171
2024-01-01 01:00:00,42453.83,42749.99,42415.0,42594.68,396.20192444,16859729.066416986
2024-01-01 02:00:00,42594.58,42625.68,42488.03,42571.32,227.14116558,9669377.272476956
2024-01-01 03:00:00,42571.32,42581.26,42235.0,42325.11,306.00569404,12983262.372711342
2024-01-01 04:00:00,42325.1,42393.48,42200.0,42389.77,296.23364415,12538707.376380913
2024-01-01 05:00:00,42389.78,42396.09,42175.65,42231.47,188.12803304,7957486.103214096
2024-01-01 06:00:00,42231.47,42463.83,42199.63,42400.9,327.01097562,13840398.634174416
2024-01-01 07:00:00,42400.9,42534.49,42396.8,42496.49,407.83509647,17315524.02279319
2024-01-01 08:00:00,42496.58,42560.26,42451.0,42552.7,134.06671357,5699864.426434881
2024-01-01 09:00:00,42552.7,42692.84,42533.77,42650.97,128.15734914,5460473.22449699
2024-01-01 10:00:00,42650.97,42750.0,42625.75,42688.5,118.45739606,5055620.107252508
2024-01-01 11:00:00,42686.73,42767.6,42598.94,42690.0,135.17767163,5770169.421273108
2024-01-01 12:00:00,42690.0,42778.74,42610.77,42647.83,143.37801956,6119636.973486692
2024-01-01 13:00:00,42647.85,42750.0,42608.98,42715.88,101.79862461,4344834.266922974
2024-01-01 14:00:00,42717.53,42723.28,42581.54,42635.19,254.33100221,10850875.795723291
2024-01-01 15:00:00,42633.57,42868.74,42601.88,42797.33,323.61489552,13826569.3847523
2024-01-01 16:00:00,42799.37,42880.97,42680.01,42742.35,330.02411038,14117004.087779008
2024-01-01 17:00:00,42738.88,42846.42,42720.76,42833.66,254.87224522,10904691.170680534
2024-01-01 18:00:00,42835.63,43228.37,42835.63,43120.92,625.46169612,26898066.242623817
2024-01-01 19:00:00,43123.82,43567.46,43106.97,43547.61,506.45180878,21947831.08538116
2024-01-01 20:00:00,43537.04,43849.9,43537.04,43701.58,559.329005,24418285.180591952
2024-01-01 21:00:00,43703.06,43800.0,43467.97,43632.21,313.9919145,13706001.401375744
2024-01-01 22:00:00,43631.79,43677.06,43389.0,43546.06,247.53944937,10783060.38436896
2024-01-01 23:00:00,43545.99,44240.8,43545.99,44220.78,1273.32282294,55884088.64909166
2024-01-02 00:00:00,44220.78,45250.0,44195.13,45093.17,3023.79309599,135132617.98738104
2024-01-02 01:00:00,45093.14,45417.45,44714.89,44894.58,1983.08278927,89298247.74706994
2024-01-02 02:00:00,44891.41,45500.0,44891.4,45485.31,1913.57794861,86478472.06092158
2024-01-02 03:00:00,45485.32,45601.0,45178.34,45473.97,1512.83393522,68735091.70109789
2024-01-02 04:00:00,45476.27,45544.1,45204.47,45218.83,681.15946183,30898018.15241503
2024-01-02 05:00:00,45218.84,45370.54,45131.0,45216.32,484.73208503,21926455.962361902
2024-01-02 06:00:00,45214.41,45361.61,45166.39,45208.54,495.63760214,22421523.74073876
2024-01-02 07:00:00,45209.48,45707.69,45209.48,45504.64,976.92127284,44359867.753592804
2024-01-02 08:00:00,45504.4,45899.96,45382.34,45808.07,759.88216942,34687627.488086484
2024-01-02 09:00:00,45811.28,45925.82,45667.11,45711.49,445.16191357,20379033.854177516
